"eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.01,2,0,0.8,1,0.8,100,4862.02663746013,0.112588219646883,4674.48462379092,679.507345920199,0.121943922068694,737.838737239771
0.01,2,0,0.8,1,1,100,4761.87910494404,0.0402210201527668,4564.51710146949,715.663873932931,0.0549798269033897,776.436391300697
0.01,2,0,0.8,3,0.8,100,4822.27576979385,0.156278927637402,4636.37260044643,657.329657105755,0.131528139425754,716.410209005876
0.01,2,0,0.8,3,1,100,4702.64326958505,0.0645661973319459,4506.25179268973,705.835659188625,0.0982559101024213,767.64918426578
0.01,2,0,1,1,0.8,100,4870.11995933389,0.100254805868928,4683.82407226562,637.841139038896,0.0915573638471693,692.915708667482
0.01,2,0,1,1,1,100,4771.93875863036,0.0449376726329825,4575.12759719122,699.937082620262,0.0689351947975324,758.966016805591
0.01,2,0,1,3,0.8,100,4811.38533043619,0.122769502399347,4626.15510602679,625.60945363677,0.11134232948873,683.213028827624
0.01,2,0,1,3,1,100,4708.60480452313,0.117525146838599,4513.34636114211,686.463777051143,0.16846836785782,747.251023440539
0.01,2,1,0.8,1,0.8,100,4865.64335589934,0.0761283826477838,4679.63680710565,644.849015097184,0.0943562933817224,700.414424410225
0.01,2,1,0.8,1,1,100,4755.22503422763,0.041198730467553,4557.23477725074,717.296221365266,0.0567387432602778,778.313553677766
0.01,2,1,0.8,3,0.8,100,4815.81035906913,0.118778695246375,4629.35847981771,661.838064901378,0.114723987613634,720.672811692857
0.01,2,1,0.8,3,1,100,4711.35788435535,0.0734062148996516,4515.3121000744,704.881837419667,0.129478471911571,765.852139739272
0.01,2,1,1,1,0.8,100,4860.46113884114,0.0707358409048241,4674.75227864583,638.099104932126,0.0675633527760573,694.718861867166
0.01,2,1,1,1,1,100,4771.93875863036,0.0449376726329825,4575.12759719122,699.937082620262,0.0689351947975324,758.966016805591
0.01,2,1,1,3,0.8,100,4811.3560462742,0.166740378186117,4626.40703822545,628.077706708724,0.149553997771647,685.164036870294
0.01,2,1,1,3,1,100,4708.60480452313,0.117525146838599,4513.34636114211,686.463777051143,0.16846836785782,747.251023440539
0.1,2,0,0.8,1,0.8,100,1801.5575873303,0.206556141989025,1537.08234979539,786.537493765473,0.186798936339543,793.571326170866
0.1,2,0,0.8,1,1,100,1877.24734956794,0.179122224980695,1607.53357049851,859.629653524376,0.154485866953799,874.614413200232
0.1,2,0,0.8,3,0.8,100,1801.72374542676,0.187034627013117,1528.38508184524,817.156281848751,0.178489774149858,821.832720392493
0.1,2,0,0.8,3,1,100,1820.04307340264,0.219582335447156,1551.08037109375,851.48089900146,0.179627379468885,853.914555151562
